Date,Close/Last,Volume,Open,High,Low
04/26/2023,$134.02,324009,$134.49,$134.99,$133.875
04/25/2023,$133.51,257244,$134.75,$134.9399,$133.46
04/24/2023,$134.84,222488,$134.05,$134.97,$133.89
04/21/2023,$134.67,165873,$134.42,$134.79,$133.39
04/20/2023,$133.80,513204,$134.00,$134.4052,$133.02
04/19/2023,$135.26,209675,$135.90,$135.90,$134.79
04/18/2023,$137.04,199207,$137.09,$137.34,$136.56
04/17/2023,$137.75,322204,$136.71,$137.79,$136.66
04/14/2023,$135.96,279098,$136.48,$137.12,$135.62
04/13/2023,$137.23,281747,$137.05,$137.49,$136.30
04/12/2023,$136.44,283257,$137.57,$137.80,$136.31
04/11/2023,$137.59,275989,$137.54,$138.04,$137.23
04/10/2023,$138.01,347672,$138.53,$138.65,$136.8901
04/06/2023,$138.87,223991,$139.19,$139.37,$138.21
04/05/2023,$140.42,220561,$140.55,$141.185,$140.17
04/04/2023,$142.14,349165,$143.04,$143.05,$141.67
04/03/2023,$142.34,232881,$142.00,$142.63,$141.64
03/31/2023,$141.69,234989,$140.99,$141.76,$140.8963
03/30/2023,$139.62,193492,$140.00,$140.36,$139.29
03/29/2023,$139.67,214334,$139.60,$140.54,$139.31
03/28/2023,$137.93,210743,$137.41,$138.50,$137.11
03/27/2023,$136.96,137295,$136.69,$137.31,$136.43
03/24/2023,$136.65,156200,$136.01,$136.66,$135.20
03/23/2023,$135.87,129597,$136.62,$137.0999,$135.1796
03/22/2023,$135.57,301666,$136.07,$137.765,$135.49
03/21/2023,$135.78,224464,$135.20,$136.17,$135.00
03/20/2023,$135.13,277076,$133.65,$135.81,$133.55
03/17/2023,$133.48,192507,$135.56,$135.56,$133.27
03/16/2023,$135.90,190288,$134.03,$136.03,$133.77
03/15/2023,$133.58,287778,$135.00,$135.00,$132.35
03/14/2023,$136.67,221764,$136.41,$136.76,$135.56
03/13/2023,$137.12,247464,$136.41,$137.76,$136.33
03/10/2023,$137.97,343707,$139.20,$139.34,$137.45
03/09/2023,$138.52,166038,$140.18,$140.68,$138.26
03/08/2023,$139.71,138775,$139.49,$139.8499,$138.98
03/07/2023,$139.08,152653,$141.28,$141.39,$138.7518
03/06/2023,$140.13,175499,$140.11,$140.6399,$139.96
03/03/2023,$139.83,244899,$138.57,$139.92,$138.4001
03/02/2023,$137.27,145103,$136.12,$137.34,$136.08
03/01/2023,$136.53,190977,$136.66,$137.49,$136.50
02/28/2023,$135.92,212431,$136.11,$136.59,$135.88
02/27/2023,$136.25,192172,$137.00,$137.1399,$135.9647
02/24/2023,$136.05,218761,$137.20,$137.20,$135.48
02/23/2023,$138.95,198137,$139.03,$139.4899,$138.15
02/22/2023,$138.65,178184,$138.70,$139.28,$138.29
02/21/2023,$139.18,324198,$140.16,$140.58,$138.73
02/17/2023,$142.85,145824,$142.08,$143.052,$141.82
02/16/2023,$142.70,303213,$141.40,$143.66,$141.32
02/15/2023,$140.97,388162,$140.41,$140.979,$140.06
02/14/2023,$142.65,230362,$142.80,$143.12,$141.55
02/13/2023,$143.86,197563,$142.95,$143.91,$142.56
02/10/2023,$143.42,230079,$143.67,$143.9821,$142.51
02/09/2023,$144.83,334021,$146.36,$147.49,$144.691
02/08/2023,$143.83,192417,$144.00,$144.635,$143.31
02/07/2023,$144.64,166906,$143.52,$144.97,$143.059
02/06/2023,$143.79,172256,$144.00,$144.4006,$142.97
02/03/2023,$144.71,248148,$145.62,$146.41,$144.45
02/02/2023,$146.62,299387,$147.00,$147.36,$144.61
02/01/2023,$148.58,213278,$146.58,$149.015,$146.58
01/31/2023,$147.11,145793,$146.30,$147.11,$145.88
01/30/2023,$145.18,182444,$146.00,$146.2896,$145.09
01/27/2023,$147.16,171755,$146.00,$147.73,$145.74
01/26/2023,$145.47,137064,$145.52,$146.19,$144.41
01/25/2023,$146.15,244991,$145.98,$146.47,$145.21
01/24/2023,$146.01,143624,$150.40,$150.40,$145.00
01/23/2023,$146.03,231276,$145.77,$146.59,$145.1178
01/20/2023,$146.11,269628,$144.92,$146.32,$144.50
01/19/2023,$144.18,245010,$144.88,$145.10,$143.62
01/18/2023,$145.51,305423,$148.00,$148.10,$145.07
01/17/2023,$144.77,383737,$144.65,$145.72,$144.266
01/13/2023,$140.30,291571,$140.42,$140.98,$139.52
01/12/2023,$142.36,242907,$142.26,$142.74,$140.71
01/11/2023,$138.85,251041,$139.67,$139.67,$138.63
01/10/2023,$139.14,231090,$139.00,$139.35,$138.17
01/09/2023,$139.94,230147,$139.31,$141.66,$139.24
01/06/2023,$138.97,164944,$136.14,$139.54,$135.91
01/05/2023,$135.52,178407,$135.72,$136.24,$134.6746
01/04/2023,$137.19,467099,$138.21,$138.40,$136.65
01/03/2023,$138.28,309833,$137.96,$138.47,$137.02
12/30/2022,$136.58,168810,$136.88,$137.3999,$136.00
12/29/2022,$137.41,249482,$135.94,$137.49,$135.91
12/28/2022,$134.13,236940,$136.00,$136.77,$133.9001
12/27/2022,$136.16,137626,$136.12,$136.965,$135.8389
12/23/2022,$137.14,149383,$137.04,$137.755,$136.19
